"district","count"
"TH",32
"TH",365
"TH",25
"TH",0
"TH",85
"HD",0
"HD",0
"HD",0
"HD",7
"HD",2
"HD",20
"HD",27
"HD",0
"CH",0
"CH",0
"CH",72
"CH",72
"CH",121
"CH",3
"CH",5
"CH",0
"CH",21
"CH",87
"CH",38
"CH",0
"NS",0
"NS",837
"NS",2
"NS",18
"NS",25
"NS",0
"NS",0
"NS",0
"NS",0
"NS",0
"PY",637
"PY",33
"PY",159
"PY",267
"PY",31
"PY",808
"PY",99
"PY",0
"BY",200
"BY",0
"BY",0
"BY",52
"BY",103
"BY",57
"ZC",646
"ZC",26
"ZC",239
"ZC",282
"ZC",17
"ZC",52
"ZC",0
"HP",622
"HP",427
"HP",109
"HP",76
"HP",70
"HP",109
"HYL",707
"HYL",0
"HYL",589
"HYL",275
"HYL",306
"HYL",8
"HYL",13
"HYL",0
