district,,count,Class
Tianhe,Carebara affinis,32,Myrmicinae
Tianhe,Monomorium chinense,150,Myrmicinae
Tianhe,Nylanderia bourbonica,23,Formicinae
Tianhe,Pheidole megacephala,83,Myrmicinae
Tianhe,Tapinoma melanocephalum,15,Dolichoderinae
Tianhe,Pheidole pieli,119,Myrmicinae
Tianhe,Aenictus aratus,85,Dorylinae
Huadu,Paratrechina longicornis,4,Formicinae
Huadu,Monomorium chinense,32,Myrmicinae
Huadu,Technomyrmex albipes,20,Dolichoderinae
Conghua,Tapinoma melanocephalum,188,Dolichoderinae
Conghua,Camponotus pseudoirritans,3,Formicinae
Conghua,Monomorium chinense,123,Myrmicinae
Conghua,Odontoponera transvers,3,Ponerinae
Conghua,Nylanderia bourbonica,3,Formicinae
Conghua,Crematogaster rogenhoferi,11,Myrmicinae
Conghua,Pheidole pieli,47,Myrmicinae
Conghua,Nylanderia sharpii,41,Formicinae
Nansha,Pheidole megacephala,556,Myrmicinae
Nansha,Tapinoma melanocephalum,301,Dolichoderinae
Nansha,Leptogenys kitteli,25,Ponerinae
Panyu,Tapinoma melanocephalum,613,Dolichoderinae
Panyu,Camponotus nicobarensis,4,Formicinae
Panyu,Paratrechina longicornis,55,Formicinae
Panyu,Monomorium chinense,494,Myrmicinae
Panyu,Carebara affinis,783,Myrmicinae
Panyu,Pheidole megacephala,85,Myrmicinae
Baiyun,Camponotus nicobarensis,1,Formicinae
Baiyun,Tetramorium bicarinatum,36,Myrmicinae
Baiyun,Pheidole parva,342,Myrmicinae
Baiyun,Monomorium chinense,33,Myrmicinae
Zengcheng,Tapinoma melanocephalum,145,Dolichoderinae
Zengcheng,Monomorium chinense,223,Myrmicinae
Zengcheng,Monomorium triviale,73,Myrmicinae
Zengcheng,Nylanderia sharpii,100,Formicinae
Zengcheng,Pheidole parva,455,Myrmicinae
Zengcheng,Pheidole hongkongensis,105,Myrmicinae
Zengcheng,Pheidole pieli,86,Myrmicinae
Zengcheng,Odontoponera transvers,41,Ponerinae
Zengcheng,Diacamma rugosum,21,Ponerinae
Zengcheng,Technomyrmex albipes,2,Dolichoderinae
Zengcheng,Camponotus dolendus,11,Formicinae
Huangpu,Tapinoma melanocephalum,764,Dolichoderinae
Huangpu,Pheidole parva,381,Myrmicinae
Huangpu,Pheidole pieli,7,Myrmicinae
Huangpu,Polyrhachis illaudata,2,Formicinae
Huangpu,Crematogaster rogenhoferi,256,Myrmicinae
Huangpu,Diacamma rugosum,3,Ponerinae
"Haizhu, Yuexiu, Liwan",Pheidole hongkongensis,332,Myrmicinae
"Haizhu, Yuexiu, Liwan",Pheidole parva,442,Myrmicinae
"Haizhu, Yuexiu, Liwan",Pheidole pieli,949,Myrmicinae
"Haizhu, Yuexiu, Liwan",Pheidole nodus,38,Myrmicinae
"Haizhu, Yuexiu, Liwan",Tapinoma melanocephalum,71,Dolichoderinae
"Haizhu, Yuexiu, Liwan",Monomorium chinense,46,Myrmicinae
"Haizhu, Yuexiu, Liwan",Crematogaster biroi,20,Myrmicinae
