Name,count,habitat
Carebara affinis,32,urban green space
Monomorium chinense,135,urban green space
Monomorium chinense,15,urban green space
Nylanderia bourbonica,15,urban green space
Nylanderia bourbonica,8,wasteland
Pheidole megacephala,66,urban green space
Pheidole megacephala,17,urban green space
Tapinoma melanocephalum,15,urban green space
Pheidole pieli,102,urban green space
Pheidole pieli,17,wasteland
Aenictus aratus,85,forest
Paratrechina longicornis,2,urban green space
Paratrechina longicornis,2,wasteland
Monomorium chinense,7,farmland
Monomorium chinense,6,farmland
Monomorium chinense,2,farmland
Monomorium chinense,4,farmland
Monomorium chinense,8,farmland
Monomorium chinense,5,wasteland
Technomyrmex albipes,20,farmland
Tapinoma melanocephalum,3,freshwater
Tapinoma melanocephalum,1,freshwater
Tapinoma melanocephalum,32,freshwater
Tapinoma melanocephalum,87,urban green space
Tapinoma melanocephalum,65,farmland
Camponotus pseudoirritans,3,farmland
Monomorium chinense,72,urban green space
Monomorium chinense,21,urban green space
Monomorium chinense,30,farmland
Odontoponera transvers,3,farmland
Nylanderia bourbonica,3,freshwater
Crematogaster rogenhoferi,11,farmland
Pheidole pieli,23,farmland
Pheidole pieli,13,farmland
Pheidole pieli,11,farmland
Nylanderia sharpii,2,urban green space
Nylanderia sharpii,3,urban green space
Nylanderia sharpii,36,freshwater
Pheidole megacephala,120,urban green space
Pheidole megacephala,163,urban green space
Pheidole megacephala,15,urban green space
Pheidole megacephala,93,urban green space
Pheidole megacephala,135,urban green space
Pheidole megacephala,30,urban green space
Tapinoma melanocephalum,60,urban green space
Tapinoma melanocephalum,114,urban green space
Tapinoma melanocephalum,43,urban green space
Tapinoma melanocephalum,6,urban green space
Tapinoma melanocephalum,38,urban green space
Tapinoma melanocephalum,20,urban green space
Tapinoma melanocephalum,1,farmland
Tapinoma melanocephalum,1,farmland
Tapinoma melanocephalum,18,farmland
Leptogenys kitteli,25,forest
Tapinoma melanocephalum,65,wasteland
Tapinoma melanocephalum,8,wasteland
Tapinoma melanocephalum,25,wasteland
Tapinoma melanocephalum,130,wasteland
Tapinoma melanocephalum,30,wasteland
Tapinoma melanocephalum,229,wasteland
Tapinoma melanocephalum,67,wasteland
